Complaint_id,customer_Id,complaint_date,complaint_details,Time_Taken
2001,1001,2023-05-05,The frequent power outages in the society is a very annoying and reoccuring theme.,240000
2002,1002,2023-05-05,The issue of unstable voltage whether high or low is a troubling theme in the society. It causes a lot of damage to electrical appliances in the household.,220000
2003,1003,2023-05-05,"The problem is mainly in high tariffs, the NEPA body simply increase the bills at will, although the supply of light is very weak. Thus making Prepaid Meter Type very popular.",200000
2004,1004,2023-05-05,"The customer service we receive is extremely poor. Paraventure, the electrical wires of a transformer in our society gets stolen. There is little or no effort shown by NEPA when we complain and ask fo solutions/help.",180000
2005,1005,2023-05-05,The most dubios is illegal billing. An ex-NEPA officer could just come up to your house and request for the monthly bill or current working officers could over-price you.,160000
2006,1006,2023-05-05,The frequent power outages in the society is a very annoying and reoccuring theme.,140000
2007,1007,2023-05-05,The issue of unstable voltage whether high or low is a troubling theme in the society. It causes a lot of damage to electrical appliances in the household.,120000
2008,1008,2023-05-05,"The problem is mainly in high tariffs, the NEPA body simply increase the bills at will, although the supply of light is very weak. Thus making Prepaid Meter Type very popular.",100000
2009,1009,2023-05-05,"The customer service we receive is extremely poor. Paraventure, the electrical wires of a transformer in our society gets stolen. There is little or no effort shown by NEPA when we complain and ask fo solutions/help.",80000
2010,1010,2023-05-05,The most dubios is illegal billing. An ex-NEPA officer could just come up to your house and request for the monthly bill or current working officers could over-price you.,60000
2011,1011,2023-05-05,The frequent power outages in the society is a very annoying and reoccuring theme.,40000
2012,1012,2023-05-05,The issue of unstable voltage whether high or low is a troubling theme in the society. It causes a lot of damage to electrical appliances in the household.,20000
2013,1013,2023-05-05,"The problem is mainly in high tariffs, the NEPA body simply increase the bills at will, although the supply of light is very weak. Thus making Prepaid Meter Type very popular.",240000
2014,1014,2023-05-05,"The customer service we receive is extremely poor. Paraventure, the electrical wires of a transformer in our society gets stolen. There is little or no effort shown by NEPA when we complain and ask fo solutions/help.",220000
2015,1015,2023-05-05,The most dubios is illegal billing. An ex-NEPA officer could just come up to your house and request for the monthly bill or current working officers could over-price you.,200000
2016,1016,2023-05-05,The frequent power outages in the society is a very annoying and reoccuring theme.,180000
2017,1017,2023-05-05,The issue of unstable voltage whether high or low is a troubling theme in the society. It causes a lot of damage to electrical appliances in the household.,160000
2018,1018,2023-05-05,"The problem is mainly in high tariffs, the NEPA body simply increase the bills at will, although the supply of light is very weak. Thus making Prepaid Meter Type very popular.",140000
2019,1019,2023-05-05,"The customer service we receive is extremely poor. Paraventure, the electrical wires of a transformer in our society gets stolen. There is little or no effort shown by NEPA when we complain and ask fo solutions/help.",120000
2020,1020,2023-05-05,The most dubios is illegal billing. An ex-NEPA officer could just come up to your house and request for the monthly bill or current working officers could over-price you.,100000
2021,1021,2023-05-05,The frequent power outages in the society is a very annoying and reoccuring theme.,80000
2022,1022,2023-05-05,The issue of unstable voltage whether high or low is a troubling theme in the society. It causes a lot of damage to electrical appliances in the household.,60000
2023,1023,2023-05-05,"The problem is mainly in high tariffs, the NEPA body simply increase the bills at will, although the supply of light is very weak. Thus making Prepaid Meter Type very popular.",40000
2024,1024,2023-05-05,"The customer service we receive is extremely poor. Paraventure, the electrical wires of a transformer in our society gets stolen. There is little or no effort shown by NEPA when we complain and ask fo solutions/help.",20000
2025,1025,2023-05-05,The most dubios is illegal billing. An ex-NEPA officer could just come up to your house and request for the monthly bill or current working officers could over-price you.,240000
2026,1026,2023-05-05,The frequent power outages in the society is a very annoying and reoccuring theme.,220000
2027,1027,2023-05-05,The issue of unstable voltage whether high or low is a troubling theme in the society. It causes a lot of damage to electrical appliances in the household.,200000
2028,1028,2023-05-05,"The problem is mainly in high tariffs, the NEPA body simply increase the bills at will, although the supply of light is very weak. Thus making Prepaid Meter Type very popular.",180000
2029,1029,2023-05-05,"The customer service we receive is extremely poor. Paraventure, the electrical wires of a transformer in our society gets stolen. There is little or no effort shown by NEPA when we complain and ask fo solutions/help.",160000
2030,1030,2023-05-05,The most dubios is illegal billing. An ex-NEPA officer could just come up to your house and request for the monthly bill or current working officers could over-price you.,140000
2031,1031,2023-05-05,The frequent power outages in the society is a very annoying and reoccuring theme.,120000
2032,1032,2023-05-05,The issue of unstable voltage whether high or low is a troubling theme in the society. It causes a lot of damage to electrical appliances in the household.,100000
2033,1033,2023-05-05,"The problem is mainly in high tariffs, the NEPA body simply increase the bills at will, although the supply of light is very weak. Thus making Prepaid Meter Type very popular.",80000
2034,1034,2023-05-05,"The customer service we receive is extremely poor. Paraventure, the electrical wires of a transformer in our society gets stolen. There is little or no effort shown by NEPA when we complain and ask fo solutions/help.",60000
2035,1035,2023-05-05,The most dubios is illegal billing. An ex-NEPA officer could just come up to your house and request for the monthly bill or current working officers could over-price you.,40000
2036,1036,2023-05-05,The frequent power outages in the society is a very annoying and reoccuring theme.,20000
2037,1037,2023-05-05,The issue of unstable voltage whether high or low is a troubling theme in the society. It causes a lot of damage to electrical appliances in the household.,240000
2038,1038,2023-05-05,"The problem is mainly in high tariffs, the NEPA body simply increase the bills at will, although the supply of light is very weak. Thus making Prepaid Meter Type very popular.",220000
2039,1039,2023-05-05,"The customer service we receive is extremely poor. Paraventure, the electrical wires of a transformer in our society gets stolen. There is little or no effort shown by NEPA when we complain and ask fo solutions/help.",200000
