Meter_id,customer_id,meter_type,installation_date,last_reading_date
3001,1001,Prepaid,2020-12-12,2023-05-02
3002,1002,Postpaid,2020-12-12,2023-05-02
3003,1003,Smart meter,2020-12-12,2023-05-02
3004,1004,Prepaid,2020-12-12,2023-05-02
3005,1005,Postpaid,2020-12-12,2023-05-02
3006,1006,Smart meter,2020-12-12,2023-05-02
3007,1007,Prepaid,2020-12-12,2023-05-02
3008,1008,Postpaid,2020-12-12,2023-05-02
3009,1009,Smart meter,2020-12-12,2023-05-02
3010,1010,Prepaid,2020-12-12,2023-05-02
3011,1011,Postpaid,2020-12-12,2023-05-02
3012,1012,Smart meter,2020-12-12,2023-05-02
3013,1013,Prepaid,2020-12-12,2023-05-02
3014,1014,Postpaid,2020-12-12,2023-05-02
3015,1015,Smart meter,2020-12-12,2023-05-02
3016,1016,Prepaid,2020-12-12,2023-05-02
3017,1017,Postpaid,2020-12-12,2023-05-02
3018,1018,Smart meter,2020-12-12,2023-05-02
3019,1019,Prepaid,2020-12-12,2023-05-02
3020,1020,Postpaid,2020-12-12,2023-05-02
3021,1021,Smart meter,2020-12-12,2023-05-02
3022,1022,Prepaid,2020-12-12,2023-05-02
3023,1023,Postpaid,2020-12-12,2023-05-02
3024,1024,Smart meter,2020-12-12,2023-05-02
3025,1025,Prepaid,2020-12-12,2023-05-02
3026,1026,Postpaid,2020-12-12,2023-05-02
3027,1027,Smart meter,2020-12-12,2023-05-02
3028,1028,Prepaid,2020-12-12,2023-05-02
3029,1029,Postpaid,2020-12-12,2023-05-02
3030,1030,Smart meter,2020-12-12,2023-05-02
3031,1031,Prepaid,2020-12-12,2023-05-02
3032,1032,Postpaid,2020-12-12,2023-05-02
3033,1033,Smart meter,2020-12-12,2023-05-02
3034,1034,Prepaid,2020-12-12,2023-05-02
3035,1035,Postpaid,2020-12-12,2023-05-02
3036,1036,Smart meter,2020-12-12,2023-05-02
3037,1037,Prepaid,2020-12-12,2023-05-02
3038,1038,Postpaid,2020-12-12,2023-05-02
3039,1039,Smart meter,2020-12-12,2023-05-02
